gameId,game,boxart,naRelDate2,euRelDate2,loosePrice,licensed,wikipediaUrl
97,Boulder Dash,,1990-06-01,,795,1,/wiki/Boulder_Dash
98,Bram Stoker's Dracula,,1993-09-01,,1588,1,/wiki/Bram_Stoker%27s_Dracula_(video_game)
99,Break Time: The National Pool Tour,,1993-01-01,,400,1,/wiki/Break_Time:_The_National_Pool_Tour
100,BreakThru,,1987-11-01,,233,1,/wiki/BreakThru_(video_game)
101,Bubble Bath Babes,,,,64000,0,/wiki/Bubble_Bath_Babes
102,Bubble Bobble,,1988-11-01,1990-10-26,1227,1,/wiki/Bubble_Bobble
103,Bubble Bobble Part 2,,1993-08-01,,22500,1,/wiki/Bubble_Bobble_Part_2
104,Bucky O'Hare,,1992-01-01,1993-02-18,3241,1,/wiki/Bucky_O%27Hare_(Nintendo_Entertainment_System)
105,Bump 'n' Jump,Bump 'n  Jump,1988-12-01,,375,1,/wiki/Bump_%27n%27_Jump
106,Burai Fighter,,1990-03-01,,423,1,/wiki/Burai_Fighter
107,BurgerTime,,1987-05-01,,442,1,/wiki/BurgerTime
108,Cabal,,1990-06-01,,550,1,/wiki/Cabal_(video_game)
109,Caesars Palace,,1992-12-01,,299,1,/wiki/Caesars_Palace_(video_game)
110,California Games,,1989-06-01,,473,1,/wiki/California_Games
111,Capcom's Gold Medal Challenge '92,,1992-08-01,1993-06-17,0,1,/wiki/Capcom%27s_Gold_Medal_Challenge_%2792
112,Captain America and The Avengers,,1991-12-01,,1195,1,/wiki/Captain_America_and_The_Avengers
113,Captain Comic - The Adventure,,,,0,0,/wiki/Captain_Comic
114,Captain Planet,,1991-09-01,1992-08-20,0,1,/wiki/Captain_Planet_(video_game)
115,Captain Skyhawk,,1990-06-01,1994-05-26,246,1,/wiki/Captain_Skyhawk
116,Casino Kid,,1989-10-01,,314,1,/wiki/Casino_Kid
117,Casino Kid 2,,1993-04-01,,2362,1,/wiki/Casino_Kid_2
118,Castelian,,1991-06-01,,817,1,/wiki/Nebulus_(video_game)
119,Castle of Deceit,,,,6544,0,/wiki/Castle_of_Deceit
120,Castle of Dragon,,1990-06-01,,550,1,/wiki/Castle_of_Dragon
121,Castlequest,,1989-09-01,,336,1,/wiki/Castlequest
122,Castlevania,,1987-05-01,1988-12-19,1500,1,/wiki/Castlevania_(video_game)
123,Castlevania II: Simon's Quest,,1988-12-01,1990-04-27,892,1,/wiki/Castlevania_II:_Simon%27s_Quest
124,Castlevania III: Dracula's Curse,,1990-09-01,1992-12-10,1300,1,/wiki/Castlevania_III:_Dracula%27s_Curse
125,Caveman Games,,1990-10-01,,455,1,/wiki/Caveman_Ughlympics
126,Challenge of the Dragon,,,,5799,0,/wiki/Challenge_of_the_Dragon
127,Championship Bowling,,1989-12-01,,222,1,/wiki/Championship_Bowling
128,Championship Pool,,1993-10-01,,756,1,/wiki/Championship_Pool
129,Championship Rally,,,1991-01-01,8993,1,/wiki/Championship_Rally
130,Cheetahmen II,,,,999900,0,/wiki/Cheetahmen_II
131,Cheetahmen: The Creation,,,,0,0,/w/index.php?title=Cheetahmen:_The_Creation&amp;action=edit&amp;redlink=1
132,Chessmaster,,1990-01-01,1992-03-26,284,1,/wiki/Chessmaster
133,Chevaliers du Zodiaque,,,1991-01-01,0,1,/w/index.php?title=Chevaliers_du_Zodiaque&amp;action=edit&amp;redlink=1
134,Chiller,,,,5600,0,/wiki/Chiller_(video_game)
135,Chip 'n Dale Rescue Rangers 2,,1994-01-01,1994-09-29,0,1,/wiki/Chip_%27n_Dale_Rescue_Rangers_2
136,Chip 'n Dale: Rescue Rangers,,1990-06-01,1991-12-12,1010,1,/wiki/Chip_%27n_Dale_Rescue_Rangers_(video_game)
137,Chubby Cherub,,1986-10-01,,3550,1,/wiki/Chubby_Cherub
138,Chunkout 2,,,,0,0,/w/index.php?title=Chunkout_2&amp;action=edit&amp;redlink=1
139,Circus Caper,,1990-07-01,,399,1,/wiki/Circus_Caper
140,City Connection,,1988-05-01,,448,1,/wiki/City_Connection
141,Clash at Demonhead,,1990-01-01,,1150,1,/wiki/Clash_at_Demonhead
142,Classic Concentration,,1990-09-01,,425,1,/wiki/Classic_Concentration
143,Cliffhanger,,1993-11-01,,1799,1,/wiki/Cliffhanger_(video_game)
144,Cloud Master,,1989-09-22,,0,1,/wiki/Cloud_Master
145,Clu Clu Land,,1985-10-01,1987-02-15,1255,1,/wiki/Clu_Clu_Land
146,Cobra Command,,1988-11-01,,298,1,/wiki/Cobra_Command_(1988_video_game)
147,Cobra Triangle,,1989-07-01,1989-10-25,364,1,/wiki/Cobra_Triangle
148,Code Name: Viper,,1990-03-01,,405,1,/wiki/Code_Name:_Viper
149,Color Caves,,,,0,0,/w/index.php?title=Color_Caves_(NES_game)&amp;action=edit&amp;redlink=1
150,Color a Dinosaur,,1993-07-01,,5275,1,/wiki/Color_a_Dinosaur
151,Commando,,1986-11-01,,399,1,/wiki/Commando_(video_game)
152,Conan: The Mysteries of Time,,1991-02-01,,1802,1,/wiki/Conan:_The_Mysteries_of_Time
